CitanceNumber,PreTwo,PreOne,CitationSentence,PostOne,PostTwo,PreOne And Citation,Citation And PostOne,CitingArticle,ReferenceArticle,LengthOfDocumentVector
69,-2.422999999999999,-2.6189999999999998,-2.215,-0.6599999999999999,-1.8449999999999998,-3.451999999999999,-2.4400000000000004,W13-2204.xml,C08-1098.xml,1781
70,-1.6830000000000003,-0.39800000000000013,-2.5359999999999996,-1.374,-1.6280000000000001,-2.489,-2.73,W13-2210.xml,C08-1098.xml,1781
71,-0.714,-1.4179999999999997,-1.475,-1.851,-1.7929999999999997,-2.142,-2.3480000000000003,W13-2210.xml,C08-1098.xml,1781
72,-0.8140000000000001,-1.209,-2.9939999999999998,-0.9119999999999999,-1.5310000000000001,-3.3209999999999997,-3.154000000000001,W13-2211.xml,C08-1098.xml,1781
73,-2.1090000000000004,-1.181,-1.1390000000000002,-1.7119999999999997,-2.5649999999999995,-1.9969999999999999,-2.3130000000000006,W13-2228.xml,C08-1098.xml,1781
74,-2.1759999999999997,-2.1590000000000003,-2.711,-1.509,-1.6640000000000001,-3.1530000000000005,-3.3259999999999996,W13-2230.xml,C08-1098.xml,1781
75,-2.2750000000000004,-0.9659999999999997,-1.846,-1.681,-1.8639999999999999,-2.517,-2.0829999999999997,W13-2230.xml,C08-1098.xml,1781
76,-1.5340000000000003,-1.972,-1.049,-1.891,-2.9810000000000003,-2.2659999999999996,-2.2250000000000005,W13-2230.xml,C08-1098.xml,1781
77,-0.665,-2.1679999999999997,-1.303,-0.9420000000000002,-1.71,-2.651,-1.4049999999999998,W13-2302.xml,C08-1098.xml,1781
78,-2.053,-0.9770000000000001,-1.545,-1.9139999999999997,-1.343,-1.9049999999999994,-2.586,W13-2708.xml,C08-1098.xml,1781
79,-2.4290000000000003,-2.833000000000001,-1.7129999999999996,-2.972,-2.119,-3.109000000000001,-3.2910000000000013,D12-1046.xml,C10-1045.xml,2402
80,-2.5370000000000004,-1.1769999999999996,-2.942,-2.711,-2.5129999999999995,-3.0280000000000014,-3.8309999999999986,J13-1007.xml,C10-1045.xml,2402
81,-2.3480000000000008,-1.9770000000000003,-1.8569999999999998,-3.0489999999999995,-1.2109999999999999,-2.879,-3.6990000000000007,J13-1007.xml,C10-1045.xml,2402
82,-1.9339999999999997,-1.5619999999999998,-2.316,-1.7109999999999994,-1.3370000000000002,-2.9660000000000006,-2.965,J13-1007.xml,C10-1045.xml,2402
83,-1.5260000000000002,-1.314,-3.2680000000000007,-1.5669999999999997,-0.403,-3.4079999999999995,-3.1339999999999995,J13-1007.xml,C10-1045.xml,2402
84,-2.3209999999999997,-2.4880000000000004,-3.3149999999999986,-3.9129999999999985,-3.7720000000000002,-3.538000000000001,-4.348999999999999,J13-1007.xml,C10-1045.xml,2402
85,-3.3149999999999986,-3.9129999999999985,-3.7720000000000002,-0.3660000000000001,-1.734,-4.408,-3.8310000000000013,J13-1007.xml,C10-1045.xml,2402
86,-0.956,-3.2559999999999993,-2.4819999999999993,-3.0010000000000003,-2.181,-3.8339999999999996,-3.6559999999999997,J13-1008.xml,C10-1045.xml,2402
87,-3.2559999999999993,-3.2279999999999998,-3.0010000000000003,-2.181,-2.324,-4.03,-3.8599999999999994,J13-1008.xml,C10-1045.xml,2402
88,-0.956,-0.9380000000000002,-2.5970000000000004,-0.9449999999999998,-0.9500000000000002,-2.9419999999999997,-2.9410000000000007,J13-1008.xml,C10-1045.xml,2402
89,-0.984,-0.7000000000000002,-2.1590000000000003,-1.8890000000000002,-0.7130000000000001,-2.068,-3.0380000000000003,J13-1009.xml,C10-1045.xml,2402
